	1004	Aalborg U	Aalborg University
	1006	Aarhus U	Aarhus University
	1018	Robert Gordon U	Robert Gordon University
	1019	U Aberdeen	University of Aberdeen
	101926	Manchester Metro U	Manchester Metropolitan University, UK
	10209	Ryl Dutch Inst Sea Res	Royal Dutch Institute for Sea Research
	1023	US Army	United States Army
	10236	Anglo Amer Plc	Anglo American Plc
	1026	Aberystwyth U	Aberystwyth University
	102654	U Nizwa	University of Nizwa, Oman
	1032	Hardin-Simmons U	Hardin-Simmons University
	1033	McMurry U	McMurry University
	1040	Abo Akademi U	Abo Akademi University
	1044	OH Nrthn U	Ohio Northern University
	104631	Dubna Intl U	Dubna International University
	104652	NITU	NITU, National University of Science and Technology
	104670	NIRFI	NIRFI, Radiophysical Research Institute
	104686	Novosibirsk St Tech U	Novosibirsk State Technical University
	104710	Rostov Sthrn Fed U	Rostov Southern Federal University
	104723	Vavilov St Opt Inst	Vavilov State Optics Institute
	104732	Syktyvkar Forest Inst	Syktyvkar Forest Institute
	104881	Fed Res Ctr Fish	Federal Research Centre for Fisheries, Hamburg
	105344	Ecole Cen Marseille	Ecole Centrale de Marseille
	105408	ISEN Lille	Institut Superieur d'Electronique Numeri, Lille
	105430	Yerevan St U	Yerevan State University
	105450	Natl Library Republic Moldova	National Library of the Republic of Moldova
	105468	Vytautas Magnus U	Vytautas Magnus University, Lithuania
	1057	S Austr Mus	South Australian Museum
	105797	Guiyang U	Guiyang University, China
	105809	Jing Gangshan U	Jing Gangshan University, China
	105955	Khalifa U Sci Tech Res	Khalifa University of Science Technology and Research, UAE
	106026	Wesleyan U	Wesleyan University
	106103	Haluoleo U	Haluoleo University, Indonesia
	106190	Natl U Mongolia	National University of Mongolia
	10627	WHOI	WHOI, Woods Hole Oceanographic Institute
	10645	Emmanuel Coll	Emmanuel College
	10647	Olin Coll Eng	Olin College of Engineering
	10648	New Coll FL	New College of Florida
	1065	Flinders U	Flinders University
	1066	U Adelaide	University of Adelaide
	1067	U South Austr	University of South Australia
	10684	Metro St U Denver	Metropolitan State University of Denver
	1069	UMD Sys	University System of Maryland
	10691	Palomar Coll	Palomar College
	1074	US DoE	US Department of Energy
	107629	Fujian Acad Agr Sci	Fujian Academy of Agricultural Sciences
	107660	U Dar es Salaam	University of Dar es Salaam, Tanzania
	107736	U Mohammed V Agdal	University Mohammed V Agdal, Morocco
	107738	Fed U Tech Akure	Federal University of Technology Akure, Nigeria
	107745	U Benin	University of Benin, Nigeria
	107750	U Ouagadougou Burkina Faso	University of Ouagadougou, Burkina Faso
	107751	U Yaounde I	University of Yaounde I, Cameroon
	107769	U Nigeria	University of Nigeria
	107788	U Burundi	University of Burundi
	107790	U Abomey-Calavi	University of Abomey-Calavi, Benin
	107811	U Cadi Ayyad	University Cadi Ayyad, Morocco
	107832	U Oran	University of Oran, Algeria
	107834	U Asmara	University of Asmara, Eritrea
	107853	Moi U	Moi University, Kenya
	107854	U Nairobi	University of Nairobi
	107864	Kenyatta U	Kenyatta University, Kenya
	107907	U Sidi Mohamed Ben Abdallah	University Sidi Mohamed Ben Abdallah, Morocco
	108005	Rivers St U Sci Tech	Rivers State University of Science and Technology, Nigeria
	108012	U Uyo	University of Uyo, Nigeria
	108042	Damascus U	Damascus University, Syria
	108123	Mbarara U Sci Tech	Mbarara University of Science and Technology, Uganda
	108234	U Zambia	University of Zambia
	108243	Natl U Sci Tech Zimbabwe	National University, of Science and Technology, Zimbabwe
	108285	U Ilorin	University of Ilorin, Nigeria
	10833	NIST	National Institute of Standards and Technology
	108491	U Baghdad	University of Baghdad
	1085	SUNY Sys	State University of New York System
	108522	Sanaa U	Sanaa University, Yemen
	108853	Intl Inst Earthquake Seis	International Institute of Earthquake Seismology, Iran
	108871	KN Toosi U	KN Toosi University, Iran
	108950	Malek-Ashtar U Tech	Malek-Ashtar University of Technology
	10939	US Nuc Reg Comm	US Nuclear Regulatory Commission
	10953	NSF	National Science Foundation
	1097	USDA	US Department of Agriculture
	1098	Albion Coll	Albion College
	110120	Modern U Tech Info	Modern University for Technology and Information, Egypt
	1104	UNM	University of New Mexico
	1105	Sandia Natl Lab	Sandia National Laboratories
	1109	Charles Sturt U	Charles Sturt University
	111111	U Paris APC	Universite de Paris, APC, Astroparticule et Cosmologie
	111229	Kiev Shevchenko Natl U	Kiev Shevchenko National University
	111230	NASU	NASU National Academy of Sciences of Ukraine
	111247	Karpov Instutute Phy Chem	Karpov Institute of Physical Chemistry
	111281	Russian Ctr Hydromet Env Mon	Russian Center for Hydrometeorology and Environmental Monitoring
	111282	AAI Arctic Antarc Res Ctr	AAI, Arctic and Antarctic Research Center
	111285	Estonian Acad Sci	Estonian Academy of Sciences
	111289	Moldova St U Chisinau	Moldova State University, Chisinau
	111392	Tech U Lublin	Technical University of Lublin
	111417	Ped U Krakow	Pedagogical University of Krakow
	111865	Lviv Franko Natl U	Lviv Franko National University
	112014	LIP	Laboratorio de Instrumentacao e Fisica Experimental de Particulas, Lisbon
	112015	Poly Inst Coimbra	Polytechnic Institute of Coimbra
	112152	Tech Educ Inst Pireaus	Technical Educational Institute of Pireaus
