	A1004	Arecibo 	Arecibo Observatory
	A1025	St Michaels Coll	Saint Michaels College
	A1058	FL Int U	Florida International University
	A1072	AAS	American Astronomical Society
	A1118	Adler	Adler Planetarium
	A1135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA), San Antonio
	A1146	SSI	Space Science Institute
	A1151	Palmer Divide	Palmer Divide Observatory
	A1159	CBA	Center for Backyard Astronomy
	A1161	PSI	Planetary Science Institute
	A1200	Malin San Diego	Malin Space Science Systems, San Diego
	A1201	SAI	Science Applications International, San Diego
	A1206	SRI Stanford	Stanford Research Institute
	A1240	FOM IPP	FOM, Institute for Plasma Physics
	A1242	Belgian ISA	Belgian Institute for Space Aeronomy
	A1245	Belgium Ast Ass	Belgium Astronomical Association
	A1247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology
	A1269	Blauvac	Observatoire de Blauvac
	A1270	CSEM	Centre Suisse d'Electronique et de Microtechnique
	A1273	GANIL	Grand Accelerateur National d'Ions
	A1281	Inst Sup Aero Espace	Institut Superieure de l'Aeronautique et de l'Espace
	A1285	SPACE X	SPACE X Exploration Institute
	A1290	ISSI	International Space Science Institute
	A1297	Swiss Fed Obs	Swiss Federal Observatory, Zurich
	A1302	Norweg Geo Soc	Norwegian Geological Society
	A1304	EISCAT	European Incoherent Scatter Scientific Association
	A1306	Atalaia Crow	Atalaia Group Crow Observatory
	A1307	NUCLIO	Interactive Nucleus of Astronomy
	A1312	ASTER	Amateur Astronomers Association of Barcelona
	A1313	Fabra Barcelona	Fabra Observatory, Barcelona
	A1314	Duran Barcelona	Esteve Duran Observatory, Barcelona
	A1315	Gualba Barcelona	Gualba Observatory, Barcelona
	A1327	Ryl Span Naval Obs	Royal Spanish Naval Observatory
	A1330	Catalan Phy Soc	Catalan Physics Society
	A1335	FRACTAL SNLE	FRACTAL, SNLE
	A1338	Ast Soc Croatia	Astronomical Society of Croatia
	A1341	Ast Soc Slovenia	Astronomical Society of Slovenia
	A1344	Isaac Newton Inst	Isaac Newton Institute, Chile
	A1350	Hung Ast Ass	Hungarian Astronomical Association
	A1351	Bolyai Mil U	Bolyai Military University
	A1357	Bucharest Astroclub	Bucharest Astroclub
	A1363	Stefaniks Obs	Stefaniks Observatory, Prague
	A1365	Copernicus Obs	Copernicus Observatory, Brno
	A1367	Upice Obs	Upice Observatory
	A1371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
	A1372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory
	A1374	Chorzow Ast Obs	Chorzow Astronomical Observatory
	A1381	Obs Cantonal Neuchatel	Observatoire Cantonal de Neuchatel
	A1390	EGO	European Gravitational Observatory, Pisa
	A1402	EURAC	European Academy of Bolzano
	A1412	Ast Obs Aosta	Astronomical Observatory of Aosta
	A1413	Talmassons Obs	Talmassons Observatory
	A1414	Geo Obs Coldigioco	Geological Observatory of Coldigioco
	A1415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory
	A1416	ECT	European Center for Theoretical Studies in Nuclear Physics
	A1419	ISI Turin	Institute for Scientific Interchange, Turin
	A1420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory
	A1430	Hellenic Mil Acad	Hellenic Military Academy
	A1433	Cyprus Coll	Cyprus College
	A1441	Odessa Natl Mar U	Odessa National Maritime University
	A1451	Belarus St U	Belarus State University, Minsk
	A1453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk
	A1458	Samarkand St U	Samarkand State University
	A1460	Georgia Tech U Tbilisi	Georgia Technical University, Tbilisi
	A1461	MEPhI	Moscow Engineering Physics Institute
	A1466	EAAS	Eurasian Astronomical Society
	A1468	Khrunichev St Res Prod Sp Ctr	Khrunichev State Research and Production Space Center
	A1469	Korolev Energia	Korolev Energia Space Rocket Corporation
	A1470	St Comm Stand Moscow	State Committee of Standards, Moscow
	A1471	Cen Aero Obs Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi
	A1472	Rostov St Ped U	Rostov State Pedagogical University
	A1484	German Acad Sci Potsdam	German Academy of Sciences, Potsdam
	A1486	Potsdam Met Obs	Potsdam Meteorological Observatory
	A1487	Intl Met Org	International Meteor Organization
	A1489	Archenhold Obs	Archenhold Observatory, Berlin
	A1490	BAV	West German Variable Star Observers
	A1491	Max Born Inst Nonlinear Opt	Max Born Institute for Nonlinear Optics
	A1508	Michael Adrian Obs	Michael Adrian Observatory, Trebur
	A1517	Geo Surv Iran	Geological Survey of Iran
	A1518	Ast Sp Res Ctr Baghdad	Astronomy and Space Research Center, Baghdad
	A1519	Nepal Ast Soc	Nepal Astronomical Society
	A1521	Philippine Atmos Geop Ast Serv Admin	Philippine Atmospheric Geophysical and Astronomical Services Administration
	A1524	Ctr Volc Geohazards Indonesia	Center for Volcanology and Geohazards, Indonesia
	A1525	BAKOSURTANAL	BAKOSURTANAL, Indonesia
	A1534	Thailand Ctr Excel Phy	Thailand Center of Excellence in Physics
	A1535	VATLY Inst Nuc Sci Tech	VATLY Institute for Nuclear Science and Technology
	A1543	Nikola Tesla U	Nikola Tesla University
	A1546	Assam Sci Soc	Assam Science Society, India
	A1548	Gov New Sci Coll	Government New Science College, India
	A1549	Ind Inst Phy	Indian Institute of Physics
	A1550	Nuc Sci Ctr New Delhi	Nuclear Science Center, New Delhi
	A1559	Rad Res Lab Korea	Radio Research Laboratory, Korea
	A1561	Korea Ast Obs	Korea Astronomy Observatory
	A1573	Beijing Plan	Beijing Planetarium
	A1577	Var Star Obs League Japan	Variable Star Observers League of Japan
	A1598	Kobe Sci Mus	Kobe Science Museum, Japan
	A1615	Japan SpGuard Ass	Japan Spaceguard Association
	A1630	Japan Sp Util Promo Ctr	Japan Space Utilization Promotion Center
	A1640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan
	A1643	Toyoma Sci Mus	Toyoma Science Museum, Japan
	A1644	Geo Res Inst Osaka	Geo Research Institute, Osaka, Japan
	A1645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan
	A1646	ALPO Japan	Association for Lunar and Planetary Observers, Japan
	A1647	Misato Ast Obs	Misato Astronomical Observatory, Japan
	A1648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan
	A1649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan
	A1654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand
	A1655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand
	A1656	Carter Obs NZ	Carter Observatory, New Zealand
	A1657	Auckland Obs	Auckland Observatory
	A1664	Austr At Ener Comm	Australian Atomic Energy Commission
	A1678	Perth Obs	Perth Observatory
	A1680	Sydney Obs Mus	Sydney Observatory Museum
	A1681	Hunters Hill Obs	Hunters Hill Observatory
	A1682	AGSO	Australian Geological Survey Organization
